동네,NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
홍대,631,서울특별시 마포구 상수동,354-6,0354,0006,아름다운공간,전세,27.6900,202608,29,"24,800",0,4,2017,토정로 127-5,202610~202810,신규,-,,,연립다세대
신림,632,서울특별시 관악구 신림동,87-32,0087,0032,(87-32),월세,37.8900,202608,29,"14,200",45,2,2002,신림로58가길 60,202610~202810,신규,-,,,연립다세대
신림,636,서울특별시 관악구 신림동,1430-2,1430,0002,한일하이빌,월세,24.6600,202608,29,"1,000",30,7,2013,신림로71길 7,202609~202808,신규,-,,,연립다세대
신림,637,서울특별시 관악구 신림동,1680-7,1680,0007,한나래(1680-7),월세,29.7800,202608,29,"2,000",105,5,2017,문성로 100,202610~202810,신규,-,,,연립다세대
신림,644,서울특별시 관악구 신림동,10-426,0010,0426,동문타운B,월세,38.3700,202608,29,"10,000",33,3,1995,남부순환로200가길 30,202609~202809,신규,-,,,연립다세대
건대입구,646,서울특별시 광진구 구의동,208-61,0208,0061,(208-61),전세,41.0900,202608,29,"25,000",0,3,2003,광나루로46길 48,202610~202809,갱신,-,"22,000",0,연립다세대
사당,650,서울특별시 동작구 사당동,180-32,0180,0032,대림,월세,35.8200,202608,28,"12,000",20,2,1990,사당로23아길 48,202610~202810,신규,-,,,연립다세대
사당,654,서울특별시 동작구 사당동,243,0243,0000,남성,월세,41.8200,202608,28,"15,000",15,4,1997,사당로10길 34,202611~202811,신규,-,,,연립다세대
사당,655,서울특별시 동작구 사당동,440-9,0440,0009,한아름맨션(440-9),전세,49.5500,202608,28,"30,000",0,4,2001,남부순환로269길 102,202610~202810,신규,-,,,연립다세대
신림,656,서울특별시 관악구 신림동,547-22,0547,0022,엘시티,월세,13.0200,202608,28,"10,000",15,4,2013,조원로14길 13,202610~202810,신규,-,,,연립다세대
신림,657,서울특별시 관악구 신림동,570-24,0570,0024,행복타운,월세,74.6000,202608,28,"3,000",130,5,2008,조원로12길 68,202609~202809,신규,-,,,연립다세대
신림,658,서울특별시 관악구 신림동,610-232,0610,0232,수정2차,전세,36.3000,202608,28,"10,700",0,1,1993,법원단지26길 24,202608~202808,신규,-,,,연립다세대
신림,659,서울특별시 관악구 신림동,408-17,0408,0017,(408-17),월세,43.5800,202608,28,"13,000",45,3,2002,신림로39길 12,202609~202809,신규,-,,,연립다세대
건대입구,669,서울특별시 광진구 화양동,33-5,0033,0005,(33-5),월세,29.8900,202608,28,"1,000",130,3,2020,아차산로23길 84,202608~202808,신규,-,,,연립다세대
신촌,673,서울특별시 서대문구 창천동,112-23,0112,0023,ATELIERMOKEN,월세,17.4310,202608,28,500,162,8,2021,신촌로 51-1,202608~202808,신규,-,,,연립다세대
건대입구,674,서울특별시 광진구 자양동,57-105,0057,0105,드림리버뷰,월세,22.6500,202608,28,"10,000",45,4,2019,능동로3길 67,202610~202810,신규,-,,,연립다세대
신촌,675,서울특별시 서대문구 창천동,62-18,0062,0018,(62-18),월세,12.1400,202608,28,"2,000",58,5,2011,연세로5다길 22-8,202608~202808,신규,-,,,연립다세대
신촌,676,서울특별시 서대문구 창천동,412,0412,0000,무지개타운,월세,70.8600,202608,28,"1,000",150,4,2003,연희로2길 34,202608~202808,신규,-,,,연립다세대
