동네,시군구,번지,건물명,위도,경도,전월세구분,전용면적(㎡),층,보증금(만원),월세금(만원),건축년도
흑석,서울특별시 동작구 흑석동,196-18,샹그릴라(196-18),37.5064393,126.963687,월세,23.0800,2,"14,000",40,2015
흑석,서울특별시 동작구 흑석동,204-5,양지빌라,37.5064393,126.963687,월세,46.4400,3,"1,000",130,1996
흑석,서울특별시 동작구 흑석동,194-7,진주빌라,37.5064393,126.963687,월세,60.3000,-1,300,50,1992
상도,서울특별시 동작구 상도동,356-3,이레아트빌12차,37.4988159,126.9441045,월세,29.5600,4,"23,000",5,2016
상도,서울특별시 동작구 상도동,301-41,해담채상도,37.4988159,126.9441045,월세,45.0700,2,"20,000",35,2016
상도,서울특별시 동작구 상도동,299-246,천수빌라C동,37.4988159,126.9441045,전세,24.3600,3,"13,000",0,1992
안암,서울특별시 성북구 안암동2가,138,에스엠빌라(138-0),37.58616,127.02271,전세,48.1800,2,"22,000",0,2003
안암,서울특별시 성북구 안암동5가,12-166,(12-166),37.5887938,127.0300906,월세,14.4700,6,"1,000",75,2012
수유,서울특별시 강북구 수유동,391-407,현대빌라(B),37.636597,127.0043825,전세,41.5200,-1,"7,000",0,1986
수유,서울특별시 강북구 수유동,439-1,동일주택,37.636597,127.0043825,월세,34.6200,1,"9,480",25,1991
수유,서울특별시 강북구 수유동,724-1,한터빌,37.636597,127.0043825,전세,19.4200,5,"5,000",0,2010
수유,서울특별시 강북구 수유동,482-21,서현펠리스,37.636597,127.0043825,월세,38.2700,3,"2,000",95,2018
수유,서울특별시 강북구 수유동,313-6,홍원하이빌강북7,37.636597,127.0043825,월세,20.5500,3,"2,377",13,2021
수유,서울특별시 강북구 수유동,448-5,해피타운,37.636597,127.0043825,월세,29.2200,4,"4,000",105,2022
수유,서울특별시 강북구 수유동,1-12,(1-12),37.636597,127.0043825,월세,20.0000,2,"1,000",73,2023
노원,서울특별시 노원구 공릉동,499-52,행운빌라,37.6302152,127.0872902,전세,55.4400,1,"8,200",0,1994
노원,서울특별시 노원구 상계동,1380-5,신성파크빌라,37.66727,127.07242,전세,40.2800,4,"4,000",0,1994
노원,서울특별시 노원구 상계동,1384-13,초록하이츠빌라4차,37.66727,127.07242,전세,59.7800,1,"20,000",0,1997
합정,서울특별시 마포구 합정동,453-15,한강에듀포레B동,37.5477846,126.9095636,월세,26.9200,4,"5,000",130,2021
